021-07-07 13:18:48,200 - DEBUG - Using function toMarkdown
2021-07-16 16:16:39,928 - INFO - Starting the server
2021-07-16 16:16:40,068 - INFO - Server started
2021-07-16 16:19:38,697 - INFO - Initialising the classes
2021-07-16 16:19:38,698 - INFO - Starting the bot
2021-07-16 16:19:38,700 - INFO - Starting the server
2021-07-16 16:19:38,919 - INFO - Server started
2021-07-16 16:26:08,916 - INFO - Initialising the classes
2021-07-16 16:26:08,917 - INFO - Starting the bot
2021-07-16 16:26:08,919 - INFO - Starting the server
2021-07-16 16:26:09,074 - INFO - Server started
2021-07-16 18:55:32,460 - DEBUG - Using function toMarkdown
2021-07-19 11:45:30,962 - DEBUG - Using function toMarkdown
2021-07-19 11:50:22,207 - INFO - Initialising the classes
2021-07-19 11:50:22,209 - INFO - Starting the bot
2021-07-19 11:50:22,211 - INFO - Starting the server
2021-07-19 11:50:22,349 - INFO - Server started
2021-07-19 18:40:09,994 - DEBUG - Using function toMarkdown
2021-07-19 19:08:42,148 - INFO - Initialising the classes
2021-07-19 19:08:42,150 - INFO - Starting the bot
2021-07-19 19:08:42,155 - INFO - Starting the server
2021-07-19 19:08:42,292 - INFO - Server started
2021-07-19 19:08:54,727 - DEBUG - Using function parseText
2021-07-19 19:08:54,728 - DEBUG - Using function getCurrency
2021-07-19 19:08:54,728 - DEBUG - Using function getAmount
2021-07-19 19:08:54,728 - DEBUG - Using function getType
2021-07-19 19:08:54,728 - DEBUG - Using function getCurrency
2021-07-19 19:08:54,728 - DEBUG - Using function checkCompletion
2021-07-19 19:08:54,728 - INFO - Missing: ['amount', 'receipt']
2021-07-19 19:09:56,255 - DEBUG - Using function parseText
2021-07-19 19:09:56,255 - DEBUG - Using function getCurrency
2021-07-19 19:09:56,255 - DEBUG - Using function getAmount
2021-07-19 19:09:57,565 - DEBUG - Using function getType
2021-07-19 19:09:57,567 - DEBUG - Using function getCurrency
2021-07-19 19:09:57,567 - DEBUG - Using function checkCompletion
2021-07-19 19:09:57,568 - INFO - Missing: ['reason', 'receipt']
2021-07-19 19:10:28,347 - DEBUG - Using function saveDocument
2021-07-19 19:10:28,735 - DEBUG - Using function checkCompletion
2021-07-19 19:10:28,736 - INFO - Missing: ['reason']
2021-07-19 19:10:28,736 - DEBUG - Using function parseText
2021-07-19 19:10:28,737 - DEBUG - Using function getCurrency
2021-07-19 19:10:28,737 - DEBUG - Using function getAmount
2021-07-19 19:10:29,691 - DEBUG - Using function getType
2021-07-19 19:10:29,692 - DEBUG - Using function getCurrency
2021-07-19 19:10:29,692 - DEBUG - Using function checkCompletion
2021-07-19 19:10:29,693 - INFO - Expense data is complete. Ready for database injection.
2021-07-19 19:10:29,696 - DEBUG - Using function injectData
2021-07-19 19:10:29,710 - INFO - Expense 7f4bca3c-1439-4657-ac15-9797d15d7282 added to the databse for user thedropper
2021-07-19 19:12:49,962 - DEBUG - Using function toMarkdown
2021-07-19 19:16:23,681 - INFO - Initialising the classes
2021-07-19 19:16:23,683 - INFO - Starting the bot
2021-07-19 19:16:23,686 - INFO - Starting the server
2021-07-19 19:16:23,874 - INFO - Server started
2021-07-19 19:16:27,563 - DEBUG - Using function toMarkdown
2021-07-19 19:16:27,740 - DEBUG - Using function totalPending
2021-07-19 19:18:53,061 - INFO - Initialising the classes
2021-07-19 19:18:53,063 - INFO - Starting the bot
2021-07-19 19:18:53,067 - INFO - Starting the server
2021-07-19 19:18:53,223 - INFO - Server started
2021-07-19 19:18:55,247 - DEBUG - Using function toMarkdown
2021-07-19 19:18:55,386 - DEBUG - Using function toMarkdown
2021-07-19 19:21:08,117 - INFO - Initialising the classes
2021-07-19 19:21:08,118 - INFO - Starting the bot
2021-07-19 19:21:08,120 - INFO - Starting the server
2021-07-19 19:21:08,375 - INFO - Server started
2021-07-19 19:21:17,151 - DEBUG - Using function totalPending
2021-07-19 19:21:17,151 - DEBUG - Using function toMarkdown
2021-07-19 19:24:25,688 - INFO - Initialising the classes
2021-07-19 19:24:25,690 - INFO - Starting the bot
2021-07-19 19:24:25,692 - INFO - Starting the server
2021-07-19 19:24:25,862 - INFO - Server started
2021-07-19 19:24:27,918 - DEBUG - Using function totalPending
2021-07-19 19:24:27,918 - DEBUG - Using function toMarkdown
2021-07-19 19:25:10,043 - DEBUG - Using function totalPending
2021-07-19 19:25:10,043 - DEBUG - Using function toMarkdown
2021-07-19 20:11:16,563 - DEBUG - Using function totalPending
2021-07-19 20:11:16,563 - DEBUG - Using function toMarkdown
2021-07-20 09:19:38,963 - DEBUG - Using function totalPending
2021-07-20 09:19:38,963 - DEBUG - Using function toMarkdown
2021-07-20 09:21:47,861 - DEBUG - Using function totalPending
2021-07-20 09:21:47,861 - DEBUG - Using function toMarkdown
2021-07-20 09:27:00,756 - DEBUG - Using function totalPending
2021-07-20 09:27:00,756 - DEBUG - Using function toMarkdown
2021-07-20 09:55:15,674 - INFO - Initialising the classes
2021-07-20 09:55:15,676 - INFO - Starting the bot
2021-07-20 09:55:15,678 - INFO - Starting the server
2021-07-20 09:55:15,814 - INFO - Server started
2021-07-20 09:55:37,859 - DEBUG - Using function saveDocument
2021-07-20 09:55:38,218 - DEBUG - Using function checkCompletion
2021-07-20 09:55:38,220 - INFO - Missing: ['amount', 'reason', 'typex']
2021-07-20 09:55:38,220 - DEBUG - Using function parseText
2021-07-20 09:55:38,221 - DEBUG - Using function getCurrency
2021-07-20 09:55:38,222 - DEBUG - Using function getAmount
2021-07-20 09:55:38,499 - DEBUG - Using function getType
2021-07-20 09:55:38,500 - DEBUG - Using function getCurrency
2021-07-20 09:55:38,501 - DEBUG - Using function checkCompletion
